algorithm,size,scenario,repetitions,mean_ms,stddev_ms,min_ms,max_ms
merge,10000,random,100,0.706122,0.101625,0.6318,1.0601
quick_med3,10000,random,100,0.603979,0.0999683,0.5348,1.0639
intro,10000,random,100,0.520377,0.0961291,0.4606,0.9753
merge,10000,sorted_25,100,0.589665,0.0978025,0.5325,1.0095
quick_med3,10000,sorted_25,100,0.577881,0.107064,0.5132,0.979
intro,10000,sorted_25,100,0.480898,0.0655691,0.4393,0.7768
merge,10000,sorted_50,100,0.470415,0.11802,0.4188,1.2827
quick_med3,10000,sorted_50,100,0.520972,0.0947581,0.4624,0.9093
intro,10000,sorted_50,100,0.426012,0.0682929,0.3849,0.7337
merge,10000,sorted_75,100,0.325231,0.0811121,0.2896,0.7519
quick_med3,10000,sorted_75,100,0.4436,0.0880455,0.3774,0.9599
intro,10000,sorted_75,100,0.357273,0.0832375,0.2902,0.7749
merge,10000,sorted_95,100,0.205665,0.0477034,0.1911,0.5545
quick_med3,10000,sorted_95,100,0.441495,0.184,0.3141,1.4217
intro,10000,sorted_95,100,0.433635,0.150497,0.27,1.053
merge,10000,sorted_99,100,0.195646,0.072193,0.174,0.6894
quick_med3,10000,sorted_99,100,1.03981,0.910777,0.4707,8.2311
intro,10000,sorted_99,100,0.650392,0.0970615,0.5359,1.0731
merge,10000,sorted_99_7,100,0.180498,0.0252853,0.1717,0.314
quick_med3,10000,sorted_99_7,100,2.71837,1.55627,1.1705,9.1577
intro,10000,sorted_99_7,100,0.69083,0.0741318,0.5499,1.056
merge,10000,reverse,100,0.173972,0.028395,0.1652,0.3771
quick_med3,10000,reverse,100,0.236212,0.0322716,0.2239,0.387
intro,10000,reverse,100,0.241439,0.0358004,0.2234,0.3625
merge,50000,random,100,4.03927,0.266396,3.7039,4.9073
quick_med3,50000,random,100,3.49675,0.257589,3.1271,4.3161
intro,50000,random,100,3.02371,0.206995,2.7425,3.6214
merge,50000,sorted_25,100,3.31527,0.215155,3.0905,4.2033
quick_med3,50000,sorted_25,100,3.29417,0.241928,3.0159,4.0399
intro,50000,sorted_25,100,2.83868,0.183552,2.603,3.7214
merge,50000,sorted_50,100,2.5565,0.149139,2.4118,3.077
quick_med3,50000,sorted_50,100,2.92391,0.210672,2.6997,4.2581
intro,50000,sorted_50,100,2.49225,0.144083,2.239,2.963
merge,50000,sorted_75,100,1.84484,0.226013,1.6475,2.7646
quick_med3,50000,sorted_75,100,2.53502,0.259978,2.1558,3.46
intro,50000,sorted_75,100,2.13029,0.275361,1.7486,2.8315
merge,50000,sorted_95,100,1.2237,0.242343,1.0704,2.65
quick_med3,50000,sorted_95,100,2.92037,0.933245,2.1304,8.3672
intro,50000,sorted_95,100,2.79848,0.646491,1.9819,4.3106
merge,50000,sorted_99,100,1.08126,0.142535,0.9719,1.8755
quick_med3,50000,sorted_99,100,5.83198,2.80859,2.9789,20.3913
intro,50000,sorted_99,100,3.7669,0.32874,3.243,4.8171
merge,50000,sorted_99_7,100,1.10047,0.116817,0.955,1.6081
quick_med3,50000,sorted_99_7,100,18.4822,16.8337,6.9147,137.702
intro,50000,sorted_99_7,100,4.01762,0.277849,3.5594,5.2875
merge,50000,reverse,100,0.980471,0.123752,0.9188,1.8897
quick_med3,50000,reverse,100,1.4536,0.08851,1.3726,1.7485
intro,50000,reverse,100,1.44104,0.104323,1.3574,1.8528
merge,100000,random,100,8.39102,0.394731,7.9821,10.0101
quick_med3,100000,random,100,7.26379,0.61972,6.7647,11.2019
intro,100000,random,100,6.2677,0.300473,5.965,7.9375
merge,100000,sorted_25,100,7.01199,0.39015,6.6859,8.4166
quick_med3,100000,sorted_25,100,7.07147,0.375075,6.6041,8.3403
intro,100000,sorted_25,100,6.0913,0.345377,5.7324,8.532
merge,100000,sorted_50,100,5.48182,0.370129,5.1495,7.3471
quick_med3,100000,sorted_50,100,6.11021,0.269356,5.7939,7.3046
intro,100000,sorted_50,100,5.27527,0.237274,4.9476,6.3416
merge,100000,sorted_75,100,3.76279,0.236853,3.4707,4.5756
quick_med3,100000,sorted_75,100,5.22345,0.364867,4.688,6.5105
intro,100000,sorted_75,100,4.36803,0.399713,3.757,5.8699
merge,100000,sorted_95,100,2.47855,0.225325,2.256,3.3902
quick_med3,100000,sorted_95,100,8.86885,6.53392,4.7344,43.7087
intro,100000,sorted_95,100,6.74824,1.46467,4.355,11.2191
merge,100000,sorted_99,100,2.4181,0.203162,2.0472,2.9642
quick_med3,100000,sorted_99,100,12.8578,7.99091,6.8132,54.3172
intro,100000,sorted_99,100,9.64076,3.00996,7.0646,34.4415
merge,100000,sorted_99_7,100,2.22857,0.228707,2.0111,3.0329
quick_med3,100000,sorted_99_7,100,33.6134,19.2819,14.4162,117.328
intro,100000,sorted_99_7,100,8.3175,0.366353,7.7118,9.5726
merge,100000,reverse,100,2.04649,0.121696,1.9453,2.8663
quick_med3,100000,reverse,100,3.27237,0.282016,2.9701,4.234
intro,100000,reverse,100,3.58982,1.10569,2.9597,9.5633
merge,500000,random,100,50.7002,5.5989,47.2798,84.2923
quick_med3,500000,random,100,40.6862,1.56962,38.8934,47.8879
intro,500000,random,100,36.2256,1.00161,34.7624,41.4379
merge,500000,sorted_25,100,40.7482,1.49084,39.2709,46.7988
quick_med3,500000,sorted_25,100,38.6743,1.40294,37.185,44.4838
intro,500000,sorted_25,100,34.6326,1.3643,32.9436,39.8016
merge,500000,sorted_50,100,31.774,1.51397,30.41,43.5994
quick_med3,500000,sorted_50,100,34.5035,1.23232,32.6254,39.1974
intro,500000,sorted_50,100,29.8469,0.90243,28.5567,33.1074
merge,500000,sorted_75,100,22.028,0.726864,20.9452,25.0636
quick_med3,500000,sorted_75,100,29.5713,1.87603,26.7502,34.9178
intro,500000,sorted_75,100,24.7636,2.0096,22.0474,31.7574
merge,500000,sorted_95,100,14.03,0.556762,13.4188,16.5622
quick_med3,500000,sorted_95,100,35.082,7.73329,26.6045,65.894
intro,500000,sorted_95,100,34.4362,6.50601,25.6537,51.1936
merge,500000,sorted_99,100,12.6786,0.563942,12.0787,14.935
quick_med3,500000,sorted_99,100,81.1922,34.2423,50.3055,257.06
intro,500000,sorted_99,100,52.5975,21.8063,40.7305,188.132
merge,500000,sorted_99_7,100,12.5979,0.504885,11.8907,14.0506
quick_med3,500000,sorted_99_7,100,198.215,164.899,83.1144,1090.5
intro,500000,sorted_99_7,100,46.4224,1.72409,43.8355,53.9654
merge,500000,reverse,100,12.127,0.530361,11.6194,15.8968
quick_med3,500000,reverse,100,19.1813,1.58836,18.2673,32.0236
intro,500000,reverse,100,18.7824,0.695831,17.9909,21.4853
merge,1000000,random,100,103.066,3.77739,99.2954,119.246
quick_med3,1000000,random,100,83.6021,1.50874,81.7266,90.7212
intro,1000000,random,100,77.3956,11.2528,73.2165,180.164
merge,1000000,sorted_25,100,84.1176,1.82897,82.8276,95.4962
quick_med3,1000000,sorted_25,100,79.81,1.67707,77.4147,87.1762
intro,1000000,sorted_25,100,71.326,1.37934,69.3921,77.6826
merge,1000000,sorted_50,100,65.3368,1.4778,63.8875,72.6251
quick_med3,1000000,sorted_50,100,70.7189,1.67248,67.8774,76.8444
intro,1000000,sorted_50,100,62.4162,1.63469,59.9978,68.7938
merge,1000000,sorted_75,100,44.5092,0.921948,43.656,50.0447
quick_med3,1000000,sorted_75,100,62.5393,10.2208,55.6022,129.63
intro,1000000,sorted_75,100,54.1423,8.39389,46.7289,120.915
merge,1000000,sorted_95,100,31.6714,4.74477,28.1107,50.5901
quick_med3,1000000,sorted_95,100,80.4884,18.3187,57.7199,164.623
intro,1000000,sorted_95,100,89.2084,24.2006,57.2897,216.549
merge,1000000,sorted_99,100,33.6084,5.66809,25.6689,57.3122
quick_med3,1000000,sorted_99,100,205.511,89.2941,116.496,619.523
intro,1000000,sorted_99,100,96.7873,10.4774,86.6202,148.336
merge,1000000,sorted_99_7,100,25.58,0.683033,24.9561,30.6073
quick_med3,1000000,sorted_99_7,100,397.813,278.151,186.285,2036.82
intro,1000000,sorted_99_7,100,106.752,27.0537,91.6348,335.68
merge,1000000,reverse,100,29.697,5.00033,24.612,59.5208
quick_med3,1000000,reverse,100,42.2332,5.56074,39.2859,81.0703
intro,1000000,reverse,100,39.869,0.909022,39.0877,44.3988
